ResponseID,response_id,assignment_id,completion_code,numericDate
R_3HUpMx7iEdESVQZ,23112.0,000273d3d9--64f64f0cacf8586eb9951e40,23874696.0,2023-09-04 16:04:06
R_3EQJesYKRyuJAdC,48645.0,000273d3d9--64f64f7b2c4aab7466dd4a42,50250285.0,2023-09-04 16:07:28
R_uqrAwFZ1OkZDvkl,61118.0,000273d3d9--64f64fbba2802a58f7c78fff,63134894.0,2023-09-04 16:09:10
R_1C4030oAWYZrpJz,77240.0,000273d3d9--64f650fdb5ed2a382b15db52,79788920.0,2023-09-04 16:14:31
R_3kzFCIFQLBuDwHe,59588.0,000273d3d9--64f64f392c4aab7466dd3a96,61554404.0,2023-09-04 16:14:49
R_3qWPiiM6gCWGasm,13098.0,000273d3d9--64f64f9dacf8586eb9953f65,13530234.0,2023-09-04 16:19:56
R_qQtiYJWj3hFvQVH,22409.0,000273d3d9--64f6523d2c4aab7466de09cc,23148497.0,2023-09-04 16:20:45
R_tM8ynko43mHDHqh,51932.0,000273d3d9--64f65033acf8586eb99561bb,53645756.0,2023-09-04 16:25:48
R_22VzTz2C2gjK4wz,45617.0,000273d3d9--64f652a0825a490df99501fe,47122361.0,2023-09-04 16:32:25
R_SBrp1JFp4xOQDgB,56461.0,000273d3d9--64f64fecb5ed2a382b159e45,58324213.0,2023-09-04 16:34:26
R_3j3ggIRriU9CJvx,15144.0,000273d3d9--64f64f34acf8586eb995261e,15643752.0,2023-09-04 16:35:14
R_3lWWrVe1P6qMog9,42825.0,000273d3d9--64f653522c4aab7466de5596,44238225.0,2023-09-04 16:36:11
R_byM9QgOHuB6mXv3,95606.0,000273d3d9--64f65383825a490df9953513,98760998.0,2023-09-04 16:37:01
R_6JUgAYGQwvdW31n,81881.0,000273d3d9--64f654fcacf8586eb9968a76,84583073.0,2023-09-04 16:48:42
R_1mDCuoLOqTocbmR,44087.0,000273d3d9--64f653c02c4aab7466de7056,45541871.0,2023-09-04 16:50:16
R_1lzdEiDmQG0kJe3,77395.0,000273d3d9--64f660932c4aab7466e1e0a4,79949035.0,2023-09-04 17:31:19
R_21ctmLwPYBDVNJy,29469.0,000273d3d9--64f66623b5ed2a382b198f29,30441477.0,2023-09-04 17:52:47
R_1EcBMtsc2u8Bf8V,71646.0,000273d3d9--64f6684fb5ed2a382b19e056,74010318.0,2023-09-04 17:57:58
R_3EA4LDNoeZ1Jfrv,65224.0,000273d3d9--64f669e52c4aab7466e38448,67376392.0,2023-09-04 18:08:09
R_ZyQ2SLxteg8EEQ9,22098.0,000273d3d9--64f66bceb5ed2a382b1a6fad,22827234.0,2023-09-04 18:10:32
R_1FK8xtQwuX1aRBC,66340.0,000273d3d9--64f674a02c4aab7466e91aa2,68529220.0,2023-09-04 18:37:41
R_1FyW7P3vZgrNicI,96754.0,000273d3d9--64f67842825a490df99c5689,99946882.0,2023-09-04 19:25:54
R_3fUUfOuKJzkJply,54826.0,000273d3d9--64f68f00acf8586eb9a302f0,56635258.0,2023-09-04 20:45:15
R_2R8kg16WBxg7avS,17430.0,000273d3d9--64f6ae33b5ed2a382b27cf41,18005190.0,2023-09-04 22:44:58
R_2ZDnWPUAJtIv6Oj,39773.0,000273d3d9--64f6a6cfb5ed2a382b25edf2,41085509.0,2023-09-04 22:54:47
R_3lt5cDMkXimbiEu,98344.0,000273d3d9--64f6b001acf8586eb9ac3d4b,101589352.0,2023-09-04 23:05:48
R_2EnLYoKEUZz2s15,37597.0,000273d3d9--64f6ae94acf8586eb9abdea6,38837701.0,2023-09-04 23:12:41
R_5cAnoV4lFMuY7DP,14455.0,000273d3d9--64f6a544a2802a58f7d7d97b,14932015.0,2023-09-04 23:30:20
R_1gjq8wyVNaBssb8,64817.0,000273d3d9--64f6b71eb5ed2a382b29e517,66955961.0,2023-09-04 23:37:51
R_3DcDB0OJJnKYUon,30235.0,000273d3d9--64f6b8bc2c4aab7466fd9dc9,31232755.0,2023-09-04 23:42:21
R_1FFeds9xxiLlLAw,24677.0,000273d3d9--64f6bbc7a2802a58f7dd5ad1,25491341.0,2023-09-04 23:53:02
R_29iVqDH3NQ2YCGF,99375.0,000273d3d9--64f6ba0d2c4aab7466fe47be,102654375.0,2023-09-04 23:54:21
R_1mJdOy94uKISCb0,53804.0,000273d3d9--64f6bd2e93b2e8548ef00684,55579532.0,2023-09-05 00:07:24
R_Op1S5YjLrUJJFKh,41956.0,000273d3d9--64f6bd84825a490df9ac95df,43340548.0,2023-09-05 00:14:15
R_1ePM4yfsAv9iq0U,32401.0,000273d3d9--64f6c053a2802a58f7de8fa9,33470233.0,2023-09-05 00:20:00
R_2bH01bFFwMA8RYl,97903.0,000273d3d9--64f6c29c4faee81cfb45154a,101133799.0,2023-09-05 00:25:52
R_9EkQfPy1UAWtVwB,19606.0,000273d3d9--64f6c0932c4aab7466002c35,20252998.0,2023-09-05 00:30:03
R_21pQOfd91hwIpw9,40825.0,000273d3d9--64f6c32493b2e8548ef284a2,42172225.0,2023-09-05 00:33:55
R_bxAkXT3Rw0gkqC5,47782.0,000273d3d9--64f6c6f7825a490df9af75bb,49358806.0,2023-09-05 00:35:46
R_3IVg7xuHGKx5cWt,70024.0,000273d3d9--64f6c3d9a2802a58f7df930a,72334792.0,2023-09-05 00:37:30
R_2v8GJSLLnadg06k,54108.0,000273d3d9--64f69fb2825a490df9a49d44,55893564.0,2023-09-05 00:44:11
R_ZDgDdTYTAN8IbQZ,22454.0,000273d3d9--64f6c9bb4faee81cfb47325f,23194982.0,2023-09-05 01:00:53
R_31LOgM3bGj8qGiF,89674.0,000273d3d9--64f6cb26acf8586eb9b4a222,92633242.0,2023-09-05 01:20:08
R_3oZuWduBMe8dfmd,25574.0,000273d3d9--64f6ca182c4aab7466038e08,26417942.0,2023-09-05 01:21:10
R_2X5VaLPlKXg5xTn,97613.0,000273d3d9--64f6c656a2802a58f7e03e00,100834229.0,2023-09-05 01:38:43
R_3KD4Z1shtzN0u1l,41517.0,000273d3d9--64f6cd21a2802a58f7e23c16,42887061.0,2023-09-05 01:55:49
R_3345sFFnM9G4hEB,25883.0,000273d3d9--64f6d8cbb5ed2a382b335cfa,26737139.0,2023-09-05 02:05:43
R_3Rt5pDm9jStSUn8,15904.0,000273d3d9--64f6dabeb5ed2a382b33e731,16428832.0,2023-09-05 02:09:10
R_sEROcNnEEi0Z5Dz,68007.0,000273d3d9--64f6d57b4faee81cfb4abbe5,70251231.0,2023-09-05 02:12:15
R_1LnbDLsQYueWc6C,82969.0,000273d3d9--64f6e2ab93b2e8548eff4052,85706977.0,2023-09-05 02:35:05
R_2rTJuuHLucOfSGf,11621.0,000273d3d9--64f6e12ea2802a58f7e7d1d7,12004493.0,2023-09-05 02:41:22
R_1Dx2bQHW3VBUEun,72588.0,000273d3d9--64f6ea4d93b2e8548e023dfe,74983404.0,2023-09-05 03:02:52
R_r2pZWDS2wvwInmh,36004.0,000273d3d9--64f6ec6922fc2e18342fc9ee,37192132.0,2023-09-05 03:19:35
R_ZL9FCkCVFItgdvX,24281.0,000273d3d9--64f6eb03acf8586eb9be0c95,25082273.0,2023-09-05 03:37:42
R_5bCxiJm5rJyRrsR,48054.0,000273d3d9--64f6f11a4faee81cfb5208af,49639782.0,2023-09-05 03:38:53
R_2XjJqyJmW9cqxuQ,75861.0,000273d3d9--64f6f2f993b2e8548e04bb96,78364413.0,2023-09-05 03:43:27
R_1QhkE1waVB1gV7z,51751.0,000273d3d9--64f6f06ce4b52a459d1595ab,53458783.0,2023-09-05 03:48:33
R_2UY46oywWScTCPm,33119.0,000273d3d9--64f6f58fe4b52a459d16f16c,34211927.0,2023-09-05 03:48:47
R_3Jz4pRrCvLkrYNB,85346.0,000273d3d9--64f6f57fdc9e7c62a7f234e3,88162418.0,2023-09-05 03:55:28
R_3kdpf0yfAWq623b,36951.0,000273d3d9--64f6ebd0a2802a58f7ea73d5,38170383.0,2023-09-05 04:01:14
R_3pt0GFRbYERVVCQ,97207.0,000273d3d9--64f6f30993b2e8548e04bedc,100414831.0,2023-09-05 04:07:17
R_28MNuizAjIDyGZB,42539.0,000273d3d9--64f6fa2da2802a58f7edc2cd,43942787.0,2023-09-05 04:07:33
R_3MfKwr4XrJJNW94,52937.0,000273d3d9--64f6f83cb5ed2a382b3b5ddb,54683921.0,2023-09-05 04:07:54
R_2eWicVplejrF7hX,52449.0,000273d3d9--64f6f2f2b5ed2a382b39e6ee,54179817.0,2023-09-05 04:11:15
R_RFtCeXnplz2Xf2x,57865.0,000273d3d9--64f6f9f64faee81cfb542491,59774545.0,2023-09-05 04:12:05
R_1oj80xDsSN0YEKF,16186.0,000273d3d9--64f6fdda825a490df9bf244a,16720138.0,2023-09-05 04:29:39
R_2QYRNto6Vokdxei,53565.0,000273d3d9--64f70181acf8586eb9c3aad5,55332645.0,2023-09-05 04:47:40
R_1dsqAbeeVyMOGs9,86152.0,000273d3d9--64f70008e4b52a459d19a6ed,88995016.0,2023-09-05 04:56:39
R_3n6FpW57K9Z9C8i,74944.0,000273d3d9--64f6fd09a2802a58f7ee9623,77417152.0,2023-09-05 04:57:26
R_RCbYoNmZWHWEysN,10414.0,000273d3d9--64f703d3e4b52a459d1acc51,10757662.0,2023-09-05 05:00:58
R_2rx5ZuthcqrjsZF,34519.0,000273d3d9--64f7036fdc9e7c62a7f64ca4,35658127.0,2023-09-05 05:03:43
R_2yd8A0Jc2ZcXFht,96282.0,000273d3d9--64f7092693b2e8548e0d64ee,99459306.0,2023-09-05 05:09:35
R_b2VA9sbD0JIyKWJ,37759.0,000273d3d9--64f702dc93b2e8548e0adf2f,39005047.0,2023-09-05 05:29:52
R_3eeoJntyrUMZWEh,24720.0,000273d3d9--64f7077fdc9e7c62a7f77075,25535760.0,2023-09-05 05:32:00
R_aV1TkHZ3C4l0n5v,80497.0,000273d3d9--64f70bfde4b52a459d1d17a1,83153401.0,2023-09-05 05:32:57
R_2VHKARmZSG2TX3r,50783.0,000273d3d9--64f70ad2e4b52a459d1cc135,52458839.0,2023-09-05 05:36:51
R_3fvKBiXTLRgYF80,39532.0,000273d3d9--64f70c282c4aab746618b6ff,40836556.0,2023-09-05 05:37:15
R_22xY1v1EgELLr0S,90112.0,000273d3d9--64f70cf622fc2e183438fc70,93085696.0,2023-09-05 05:38:17
R_TcKVTPu2uM9OJSV,59115.0,000273d3d9--64f70d68825a490df9c360dc,61065795.0,2023-09-05 05:43:34
R_p5eNJu6SwUXU425,82082.0,000273d3d9--64f70fe0dc9e7c62a7f9cbd0,84790706.0,2023-09-05 05:44:52
R_xGI9XJKUVvt3CIF,50577.0,000273d3d9--64f70f1493b2e8548e0f6f2d,52246041.0,2023-09-05 05:45:05
R_2R9VUBdv5ymNkEt,79909.0,000273d3d9--64f70f73a2802a58f7f36ae5,82545997.0,2023-09-05 05:48:11
R_1q9BudxFAzq3s6Y,73753.0,000273d3d9--64f71937e4b52a459d202fe3,76186849.0,2023-09-05 06:30:47
R_1gMauNI06AIgnmX,47174.0,000273d3d9--64f717dbacf8586eb9c9d729,48730742.0,2023-09-05 06:35:41
R_3ERN55nwTlPHjag,19782.0,000273d3d9--64f712392c4aab74661a34e9,20434806.0,2023-09-05 06:37:40
R_3rIpZbnnevQ6CdZ,52790.0,000273d3d9--64f716eddc9e7c62a7fb836d,54532070.0,2023-09-05 06:42:18
R_3G6vVNorb1jPdhW,57723.0,000273d3d9--64f71d70dc9e7c62a7fd5659,59627859.0,2023-09-05 06:44:26
R_2xzv4P7ppiLufmQ,19046.0,000273d3d9--64f7153f2c4aab74661b129d,19674518.0,2023-09-05 06:47:19
R_2QnUMdJNxROcxxY,29002.0,000273d3d9--64f71ce52c4aab74661de6f2,29959066.0,2023-09-05 06:50:17
R_1hNpUhXLaxxX5ZN,22827.0,000273d3d9--64f72171acf8586eb9ccf43b,23580291.0,2023-09-05 06:51:41
R_2s7qzd4398Qe6Kt,80580.0,000273d3d9--64f71eb24faee81cfb5d209f,83239140.0,2023-09-05 06:58:11
R_3Jn3zgiut0MJ4c8,78114.0,000273d3d9--64f720332c4aab74661f1106,80691762.0,2023-09-05 07:02:46
R_5vFwO0vhvqifg6B,22235.0,000273d3d9--64f721a8a2802a58f7f7e211,22968755.0,2023-09-05 07:05:03
R_2Egyu73pPR3jRiu,83517.0,000273d3d9--64f7253ba2802a58f7f8b87a,86273061.0,2023-09-05 07:18:39
R_1GJHF7igBIM7rh0,93944.0,000273d3d9--64f723720faa1a007be8209c,97044152.0,2023-09-05 07:34:38
R_10OEAz2XQbN7zqF,43252.0,000273d3d9--64f72c0f825a490df9cb4810,44679316.0,2023-09-05 07:42:52
R_sNj4OSzKJlYbQjf,42613.0,000273d3d9--64f72b6facf8586eb9cfd7ca,44019229.0,2023-09-05 07:44:37
R_3oQRVIiajziXTgy,84143.0,000273d3d9--64f72a2e93b2e8548e1a5a92,86919719.0,2023-09-05 07:46:14
R_2fdqeHoln9EU9QQ,65477.0,000273d3d9--64f72e8ba2802a58f7faecfd,67637741.0,2023-09-05 07:48:17
R_3e50BqKc4bd7KDQ,55257.0,000273d3d9--64f72f29b5ed2a382b480101,57080481.0,2023-09-05 07:51:06
R_1Q3moa4R3IbKSoo,74701.0,000273d3d9--64f72ee547ad97706cb28203,77166133.0,2023-09-05 07:51:59
R_3WYd0E2wLiytfmV,33824.0,000273d3d9--64f72e90e4b52a459d25ae44,34940192.0,2023-09-05 07:59:53
R_3stxyJjK5YG9PRe,13710.0,000273d3d9--64f72e05825a490df9cbc873,14162430.0,2023-09-05 08:00:12
R_1LSQcKil3lsFOls,62057.0,000273d3d9--64f71dbea2802a58f7f6d297,64104881.0,2023-09-05 08:12:03
R_tSYbY8AdvzyORdn,73310.0,000273d3d9--64f72f3793b2e8548e1be702,75729230.0,2023-09-05 08:21:17
R_1GTg1faA3qyUEt0,94993.0,000273d3d9--64f72cefe4b52a459d25524d,98127769.0,2023-09-05 08:26:07
R_3hEz6Zlr5ghfXo6,20115.0,000273d3d9--64f730aee4b52a459d26221e,20778795.0,2023-09-05 08:42:59
R_6xvD8JBXHpTjJ7z,88289.0,000273d3d9--64f746b440aa1b286254820f,91202537.0,2023-09-05 09:28:50
R_2Y578oErQCwvj6z,55558.0,000283ca21--6553e16883a7fd7c2eaa8f98,57391414.0,2023-11-14 14:35:44
R_3PZEnSt2v0uVVbj,44453.0,000283ca21--6553e4f6f1170811bb7576ce,45919949.0,2023-11-14 14:51:41
R_1IJVEcDmIVljraG,66319.0,000283ca21--6553e6ba09e30a60624ccdc6,68507527.0,2023-11-14 14:53:27
R_3k51boOBlB0g4TR,62815.0,000283ca21--6553e355e7e57c440c54bd6f,64887895.0,2023-11-14 15:01:54
R_ZatdX4SMN5lA6eR,51577.0,000283ca21--6553e22209e30a60624bd4a3,53279041.0,2023-11-14 15:15:05
R_3LZshMEDjvUxaJE,77767.0,000283ca21--6553e8053e271b2018960233,80333311.0,2023-11-14 15:15:32
R_sHkAl0wFjegg8yB,22492.0,000283ca21--6553e0a71d871c6a8669f1e5,23234236.0,2023-11-14 15:20:49
R_3P4xtoL6D5YAhbK,90315.0,000283ca21--6553eb53f1170811bb769e18,93295395.0,2023-11-14 15:35:55
R_3ksHDwvfV5tLNx6,94271.0,000283ca21--6553f94a1d871c6a866eb00f,97381943.0,2023-11-14 16:19:03
R_1DpRgu4milGKM1p,65001.0,000283ca21--6553faeb83a7fd7c2eafaa61,67146033.0,2023-11-14 17:03:18
R_3qz20iHuhZCS4WK,18485.0,000283ca21--65540caee7e57c440c5c6269,19095005.0,2023-11-14 18:17:52
R_bEqcTBfT13rr29j,69330.0,000283ca21--65541f011d871c6a8674ef0d,71617890.0,2023-11-14 19:38:29
R_qOXSuIfHI4r30kh,24353.0,000283ca21--65543dbbf1170811bb85ff93,25156649.0,2023-11-14 21:11:42
R_2z61IQPuFdaxyHC,99650.0,000283ca21--655432f883a7fd7c2eb8cebd,102938450.0,2023-11-14 21:43:16
R_27louPLSFQxkg8p,91352.0,000283ca21--655447a1dd465d4d2f5ac72f,94366616.0,2023-11-14 21:45:03
R_1ot1mfdVIrC35DM,13334.0,000283ca21--655449873e271b2018ab9169,13774022.0,2023-11-14 21:58:33
R_211HOxUe8VMcqcc,89664.0,000283ca21--65546e29a65f15540be7a75c,92622912.0,2023-11-15 00:27:11
R_3HAZjLNwl4D5rkt,81469.0,000283ca21--65546c7d3e271b2018b59a91,84157477.0,2023-11-15 00:30:55
R_6tfXTXT5SCFW5qx,42201.0,000283ca21--6554749d8d4c1e6326b57c65,43593633.0,2023-11-15 00:58:52
R_AEQg5pMnYcYRjBD,41143.0,000283ca21--65547a62e7e57c440c7404cd,42500719.0,2023-11-15 01:15:11
R_1GQeWCVXxHtE7Mw,77926.0,000283ca21--65547aace7e57c440c7414ba,80497558.0,2023-11-15 01:34:20
R_1n2Sy3GVRT1njmt,60702.0,000283ca21--655483301d871c6a868a5288,62705166.0,2023-11-15 02:27:54
R_d9XEfDhMIME4dVv,50846.0,000283ca21--65549ce7a65f15540bf36e69,52523918.0,2023-11-15 04:53:14
R_23X2u3EBYUR2qRg,62728.0,000283ca21--6554b4e6eb1c9429b09c56b7,64798024.0,2023-11-15 05:45:58
R_1ifmXkZCFRqjFOy,39273.0,000283ca21--6554ba7649f5e4735e82059c,40569009.0,2023-11-15 06:24:25
R_2P12ZnLzPjsTthF,35365.0,000283ca21--6554ca32b2fed3736a48ec55,36532045.0,2023-11-15 07:28:36
R_22mOc27CSKfOiG6,81640.0,000283ca21--6554f3c101759f0b1d2eac2e,84334120.0,2023-11-15 10:06:58
R_1ig7DPEpliqtyPd,55135.0,000283ca21--6554ddd758271467766c030f,56954455.0,2023-11-15 10:13:16
R_b7rKLO6A2MltGZH,59433.0,000283ca21--6554e6492cd11f5b34909a62,61394289.0,2023-11-15 10:34:05
R_2CfGsyJ9J3kdC2l,71505.0,000283ca21--6554fc39bbf5b0463736bddc,73864665.0,2023-11-15 10:42:03
R_27x9FbjhtxltqvA,30375.0,000283ca21--6555002b01759f0b1d316aa3,31377375.0,2023-11-15 11:12:54
R_1memzbdvNaGRdPo,55625.0,000283ca21--655515abf6913e6095181e9f,57460625.0,2023-11-15 12:41:22
R_5mN8LQKKAeh89Cp,39430.0,000283ca21--6555155a27e10a5e2b5d08b7,40731190.0,2023-11-15 13:07:33
R_1X4j5MGnwz5HgBP,17173.0,000283ca21--65551f8dbbf5b046373e99f8,17739709.0,2023-11-15 13:48:53
R_3DoLTKt9BL7kAWl,29418.0,000283ca21--655553f449f5e4735eaa61c3,30388794.0,2023-11-15 16:48:08
R_1Lq8OJZrgTC2f3f,94871.0,000283ca21--6555b17eeb1c9429b0d3584e,98001743.0,2023-11-15 23:44:40
R_3oMJudZu8LBcSdx,48045.0,000283ca21--65561497857ac53755ff93f6,49630485.0,2023-11-16 06:59:24
R_3hxSOSXmeBOg5ou,92494.0,000283ca21--65579d183195d84a75b0bf3e,95546302.0,2023-11-17 10:30:19
R_1IiQNCUcldFiCSJ,74889.0,000283ca21--6559b4703ae7885bce265108,77360337.0,2023-11-19 01:05:48
R_2eW1yXaeIvOVXtf,68182.0,000283ca21--655bd89389e0243cc3803aa0,70432006.0,2023-11-20 15:36:33
R_3CZw83V1cEr5rZu,37235.0,000283ca21--655d175e89e0243cc3c4ae31,38463755.0,2023-11-21 16:52:01
R_3HUlze2HhticKmO,19398.0,000283ca21--655f20c6392774054e9963ae,20038134.0,2023-11-23 05:10:39
R_2rAusALnrJOYUsi,61589.0,000283ca21--655f486f10af5c4b9c68d5f4,63621437.0,2023-11-23 06:39:16
R_4JHBFrajdfnPbaN,96775.0,000283ca21--656119d8d5de366be20c77f8,99968575.0,2023-11-24 15:18:54
R_3FWpqz9a2b1h2fa,59714.0,000283ca21--6562590839b0b366e97dea58,61684562.0,2023-11-25 14:18:59
R_2yszu34JdRUoMbr,31838.0,000283ca21--656263b0ac2f37319238716f,32888654.0,2023-11-25 15:07:14
R_12RvbQbVWEK1OKc,22275.0,000283ca21--6563042e19b7861c4a75c031,23010075.0,2023-11-26 02:23:01
R_eDlEkzt9MV82QVj,39752.0,000283ca21--65662cfd72d52b5a02125479,41063816.0,2023-11-28 11:53:22
R_2zRZQlxbOnpfwZo,51382.0,000283ca21--6567488c13343710bed49a60,53077606.0,2023-11-29 07:41:51
R_AKVDsxpyTvwltjX,70260.0,000283ca21--656a194ede57091f56393bd5,72578580.0,2023-12-01 11:02:17
R_31bFIlBMJD7AMe4,53688.0,000283ca21--656a26d4c9b54b3177ea0c33,55459704.0,2023-12-01 11:58:25
R_ZsG1sRI8ls1BsGZ,27360.0,000283ca21--656d5d8de89d5172330ed272,28262880.0,2023-12-03 22:30:25
R_125PWKVuQuEkjSL,81707.0,000283ca21--656d85c3355626288e2b8c3b,84403331.0,2023-12-04 01:08:35
R_2vdBbmRwRwHXU15,38125.0,000283ca21--656d85b7ab84697810e3d694,39383125.0,2023-12-04 01:14:47
R_1QgWVcrLpKVvAdv,24656.0,000283ca21--656d978ade57091f56e94365,25469648.0,2023-12-04 02:24:13
R_1OCVgPma8vNZXQB,21931.0,000283ca21--656d9ba0499674218aecbfc6,22654723.0,2023-12-04 02:40:15
R_puFk1Nwh5EwOVyN,49568.0,000283ca21--656d95ee89a2b22ad4c8df00,51203744.0,2023-12-04 02:42:46
R_3qUsDPgkfIzLVI2,99360.0,000283ca21--656dc36516b8cb68b822e71f,102638880.0,2023-12-04 05:48:27
R_1Iscoa5psEowOmM,44521.0,000283ca21--656dbedb259151619f29aa38,45990193.0,2023-12-04 05:54:03
R_2fxI0K1fvziofso,46984.0,000283ca21--656dc2b916b8cb68b822ba44,48534472.0,2023-12-04 06:01:09
R_2zNl0ZvyZvslG2I,84987.0,000283ca21--656dc5a1e89d517233265ba4,87791571.0,2023-12-04 06:01:45
R_VIFNCkSiEpozxfj,12345.0,000283ca21--656dc951de57091f56f670b3,12752385.0,2023-12-04 06:07:35
R_2tg5jGL2MDb0ZNu,24976.0,000283ca21--656dc68bde57091f56f5a4f3,25800208.0,2023-12-04 06:50:29
R_Avt4ibmRy2tOzcd,51810.0,000283ca21--656ddcfdde57091f56fb3a2b,53519730.0,2023-12-04 07:25:47
R_ZfTwdwm70bAw3S1,64853.0,000283ca21--656de184f398366bec00b06e,66993149.0,2023-12-04 07:41:53
R_eXx0qe9faqz652N,31880.0,000283ca21--656de1bf89a2b22ad4da576e,32932040.0,2023-12-04 07:45:01
R_cIpuJqp7xBQfmlH,83400.0,000283ca21--656de7eff398366bec01e1e7,86152200.0,2023-12-04 08:13:21
R_1NkpS69pdKn7DcZ,92726.0,000283ca21--656de89e16b8cb68b82b0183,95785958.0,2023-12-04 08:13:41
R_OBj9b1EENBjCIOl,89812.0,000283ca21--656ded16499674218afda6d6,92775796.0,2023-12-04 08:55:29
R_2cC5AuhuSUTTM6O,99077.0,000283ca21--656dfc9b14a0511ba320966f,102346541.0,2023-12-04 09:37:18
R_3MDv6hW7Z48K9dd,95530.0,000283ca21--656e018889a2b22ad4dfcb0c,98682490.0,2023-12-04 10:01:10
R_3OlboMHdlPkASTC,85306.0,000283ca21--656e089eab84697810fdaf6c,88121098.0,2023-12-04 10:28:07
R_27xtShALtF1N8Sh,76697.0,000283ca21--656e0b1b89a2b22ad4e1605c,79228001.0,2023-12-04 10:37:03
R_3rNv8ZETIT46lS2,33195.0,000286f801--656e17a516b8cb68b8338fb1,34290435.0,2023-12-04 11:29:24
R_0BvZ6rccHPgQ6rv,86829.0,000286f801--65701ae28b58187b6eaef7b0,89694357.0,2023-12-06 00:26:58
R_sz0MgyOvSznYngl,66565.0,000286f801--6570a43635c0847139aa8f2d,68761645.0,2023-12-06 10:05:05
R_2Xj0fHZNGPtQ5jF,30146.0,000286f801--6570b85b6028e5595efdbdd6,31140818.0,2023-12-06 11:32:39
R_1f2DxzuSRzOdcJX,25961.0,000286f801--65720ba0028ebc75b6a3c0f5,26817713.0,2023-12-07 11:54:50
R_1mxZ1qNKGI2iea7,47124.0,000286f801--6572c71573a0455e0172a551,48679092.0,2023-12-08 01:20:27
R_1ly2lTgd8HMWCgp,47661.0,000286f801--6572e4584dbe102e63afc6ba,49233813.0,2023-12-08 03:09:19
R_p58X9DokQcDeBmp,31019.0,000286f801--65736973e121ea51c3d28d2e,32042627.0,2023-12-08 12:28:35
R_3P4UGguPhW8p0Ll,25960.0,000286f801--6575efce7164fe6afe96e118,26816680.0,2023-12-10 10:41:21
R_2CBRCQWZs4rKeT6,25751.0,000286f801--657765f944d70a20502f0e1a,26600783.0,2023-12-11 13:23:18
R_3G8KHu8oWASfNWo,83079.0,000286f801--6579a10b028ebc75b638b8d9,85820607.0,2023-12-13 05:46:59
R_7G6C99ATbf4NH6Z,94122.0,000286f801--657f181a089e261ed4bc0fa2,97228026.0,2023-12-17 09:42:16
R_5fDqaLX24FpuHLx,41792.0,000286f801--657f851cc0e8b1306b897aed,43171136.0,2023-12-17 17:23:34
R_5jIWVYtvzS5eykV,85277.0,000286f801--658a7a3f44e82c137b9cc6fe,88091141.0,2023-12-26 01:08:10
R_2JrvFwdvlt9XCHU,97403.0,000286f801--658b7d0b44e82c137bc62481,100617299.0,2023-12-26 19:10:27
R_3mb2tyJN0nTLG7E,43412.0,000286f801--658c15885c46e7242719cf2e,44844596.0,2023-12-27 05:41:41
R_1ONeTylMzlLB8Pv,82275.0,000286f801--658c29005c46e724271ce591,84990075.0,2023-12-27 07:15:57
R_47eP5B2Pig4l0nh,97813.0,000286f801--658d47395c46e72427459550,101040829.0,2023-12-28 04:04:42
R_6TRl6rG37EInISD,65249.0,000286f801--659686662e91040508e358df,67402217.0,2024-01-04 04:05:50
R_8R8FgIZ39NDUzV5,49160.0,000286f801--659eaf9751445f61128bb584,50782280.0,2024-01-10 08:16:48
